candidate_id,rank,score,reasoning
CAND_0000026,1,0.99,Graphic Designer with 6.8 yrs; 3 matched skills; response rate 0.59.
CAND_0000016,2,0.9739,Accountant with 5.3 yrs; 2 matched skills; response rate 0.64.
CAND_0000001,3,0.9578,Backend Engineer with 6.9 yrs; 1 matched skills; response rate 0.34.
CAND_0000033,4,0.9416,Graphic Designer with 8.6 yrs; 3 matched skills; response rate 0.08.
CAND_0000021,5,0.9255,Project Manager with 14.5 yrs; 5 matched skills; response rate 0.49.
CAND_0000025,6,0.9094,Frontend Engineer with 7.3 yrs; 2 matched skills; response rate 0.74.
CAND_0000045,7,0.8933,Project Manager with 12.2 yrs; 3 matched skills; response rate 0.62.
CAND_0000031,8,0.8771,Recommendation Systems Engineer with 6.0 yrs; 1 matched skills; response rate 0.91.
CAND_0000035,9,0.861,Full Stack Developer with 4.3 yrs; 4 matched skills; response rate 0.34.
CAND_0000010,10,0.8449,Data Engineer with 4.6 yrs; 1 matched skills; response rate 0.40.
CAND_0000024,11,0.8288,HR Manager with 7.5 yrs; 2 matched skills; response rate 0.78.
CAND_0000005,12,0.8127,Accountant with 11.0 yrs; 2 matched skills; response rate 0.37.
CAND_0000039,13,0.7965,Marketing Manager with 3.9 yrs; 3 matched skills; response rate 0.52.
CAND_0000041,14,0.7804,Operations Manager with 13.7 yrs; 3 matched skills; response rate 0.07.
CAND_0000044,15,0.7643,Frontend Engineer with 5.7 yrs; 2 matched skills; response rate 0.66.
CAND_0000007,16,0.7482,Civil Engineer with 5.5 yrs; 1 matched skills; response rate 0.62.
CAND_0000037,17,0.732,Business Analyst with 14.3 yrs; 2 matched skills; response rate 0.78.
CAND_0000032,18,0.7159,.NET Developer with 8.1 yrs; 2 matched skills; response rate 0.69.
CAND_0000050,19,0.6998,Business Analyst with 13.5 yrs; 2 matched skills; response rate 0.42.
CAND_0000046,20,0.6837,Mechanical Engineer with 7.8 yrs; 1 matched skills; response rate 0.41.
CAND_0000027,21,0.6676,DevOps Engineer with 3.9 yrs; 3 matched skills; response rate 0.58.
CAND_0000017,22,0.6514,Accountant with 12.3 yrs; 2 matched skills; response rate 0.27.
CAND_0000006,23,0.6353,Business Analyst with 6.0 yrs; 2 matched skills; response rate 0.12.
CAND_0000019,24,0.6192,Project Manager with 6.5 yrs; 1 matched skills; response rate 0.34.
CAND_0000049,25,0.6031,Mechanical Engineer with 11.8 yrs; 0 matched skills; response rate 0.59.
CAND_0000029,26,0.5869,Business Analyst with 7.2 yrs; 1 matched skills; response rate 0.12.
CAND_0000042,27,0.5708,HR Manager with 5.0 yrs; 0 matched skills; response rate 0.58.
CAND_0000014,28,0.5547,Frontend Engineer with 8.4 yrs; 0 matched skills; response rate 0.80.
CAND_0000038,29,0.5386,Java Developer with 6.7 yrs; 1 matched skills; response rate 0.20.
CAND_0000020,30,0.5224,Mechanical Engineer with 6.3 yrs; 0 matched skills; response rate 0.55.
CAND_0000030,31,0.5063,Marketing Manager with 10.0 yrs; 0 matched skills; response rate 0.66.
CAND_0000036,32,0.4902,Project Manager with 11.3 yrs; 1 matched skills; response rate 0.40.
CAND_0000009,33,0.4741,Mechanical Engineer with 11.0 yrs; 0 matched skills; response rate 0.53.
CAND_0000043,34,0.458,Cloud Engineer with 8.3 yrs; 1 matched skills; response rate 0.04.
CAND_0000048,35,0.4418,Mobile Developer with 9.7 yrs; 1 matched skills; response rate 0.65.
CAND_0000002,36,0.4257,Operations Manager with 12.5 yrs; 1 matched skills; response rate 0.29.
CAND_0000004,37,0.4096,Marketing Manager with 3.8 yrs; 1 matched skills; response rate 0.26.
CAND_0000015,38,0.3935,Software Engineer with 5.4 yrs; 0 matched skills; response rate 0.32.
CAND_0000047,39,0.3773,Project Manager with 2.4 yrs; 3 matched skills; response rate 0.39.
CAND_0000023,40,0.3612,Software Engineer with 3.7 yrs; 1 matched skills; response rate 0.57.
CAND_0000011,41,0.3451,QA Engineer with 2.0 yrs; 3 matched skills; response rate 0.56.
CAND_0000034,42,0.329,Business Analyst with 14.5 yrs; 1 matched skills; response rate 0.15.
CAND_0000018,43,0.3129,Frontend Engineer with 6.6 yrs; 0 matched skills; response rate 0.16.
CAND_0000008,44,0.2967,Operations Manager with 3.6 yrs; 1 matched skills; response rate 0.42.
CAND_0000040,45,0.2806,Customer Support with 1.6 yrs; 3 matched skills; response rate 0.46.
CAND_0000013,46,0.2645,Civil Engineer with 1.1 yrs; 1 matched skills; response rate 0.28.
CAND_0000022,47,0.2484,Mechanical Engineer with 1.1 yrs; 3 matched skills; response rate 0.27.
CAND_0000012,48,0.2322,Operations Manager with 1.1 yrs; 2 matched skills; response rate 0.16.
CAND_0000028,49,0.2161,Operations Manager with 1.1 yrs; 0 matched skills; response rate 0.14.
CAND_0000003,50,0.2,Customer Support with 1.1 yrs; 1 matched skills; response rate 0.46.
